id_releve	orga_fournisseur	programmes	date_releve_deb	date_releve_fin	releve_type	observateurs	insee	lieudit	comm_loc	comm_milieu	lithologie	geologie	exposition	pente	rec_total	refbiblio	page	code_perso	id_precision	x_l93	y_l93
582940	Conservatoire botanique national méditerranéen de Porquerolles	Inventaire général du CBNMED	2013-12-22	2013-12-22	Relevé de terrain	MORVANT Yves / MICHAUD Henri	83112	LA NARTETTE	piste du pigeonnier	bord de sentier		Roches sédimentaires carbonatées : calcaires						1y	P	919326	6232509
1171910	Conservatoire botanique national méditerranéen de Porquerolles		2015-11-11	2015-11-11	Relevé de terrain	MICHAUD Henri	13023	LA LOUISIANNE										GH141	P	917121	6239024
288057	Bureau d'études ECO-MED (Ecologie et Médiation)		2006-04-27	2006-04-27	Relevé de terrain	ABOUCAYA Annie / FERREIRA Olivier	13028	LE MENTAURE	Butte surmontée du relai, à 20 m. du grillage de la décharge - Côté SO.										P	910525	6238680
359364	Bureau d'études ECO-MED (Ecologie et Médiation)		2007-07-02	2007-07-02	Relevé de terrain	LEJEUNE Solenne	83027	LES LUCQUETTES											P	922372	6239501
8121043	Parc national des Calanques		2016-08-08	2016-08-08	Relevé de terrain	ONOFRIO Patrice, d' / CROUZET Nicolas	13022	LES CUETTES											P	910279	6240011
1173272	Conservatoire botanique national méditerranéen de Porquerolles	Inventaire général du CBNMED	2015-11-15	2015-11-15	Relevé de terrain	MORVANT Yves / MICHAUD Henri	83027	LES BARBAROUX	PISTE DU TELEGRAPHE									130Y	P	918317	6238579
658079	Bureau d'études ECOSPHERE		2013-05-23	2013-05-23	Relevé de terrain	CROUZET Nicolas	83016												P	928187	6241810
414159	Conservatoire botanique national méditerranéen de Porquerolles	Inventaire général du CBNMED	2012-11-01	2012-11-01	Relevé de terrain	MORVANT Yves / MICHAUD Henri	83112	PORT D'ALON	TALUS ROUTE DESCENTE PORT D'ALON	GARRIGUE OUVERTE		Roches éruptives : granites						364Y	P	920680	6231603
359367	Bureau d'études ECO-MED (Ecologie et Médiation)		2007-04-26	2007-04-26	Relevé de terrain	LEJEUNE Solenne	83112	LA MADRAGUE	Massif dunaire										P	919874	6233023
359462	Bureau d'études ECO-MED (Ecologie et Médiation)		2007-06-26	2007-06-26	Relevé de terrain	LEJEUNE Solenne	83035	LES VAS											P	924819	6236914
359454	Bureau d'études ECO-MED (Ecologie et Médiation)		2007-04-26	2007-04-26	Relevé de terrain	LEJEUNE Solenne	83112	LA GACHE	Massif dunaire										P	920494	6233165
10441221	Association des Ecologistes de l'Euzière		2015-05-05	2015-05-05	Relevé de terrain	AUPY Emeline	66014												P	684415	6184972
1398768	Bureau d'études ECO-MED (Ecologie et Médiation)		2013-11-20	2013-11-20	Relevé de terrain	VOLANT Jérôme	13023			6220 - Parcours substeppiques de graminées et annuelles des Thero-Brachypodietea									P	913872	6239223
274763	Bureau d'études ECO-MED (Ecologie et Médiation)		2006-04-26	2006-04-26	Relevé de terrain	LIJNEN Delphine	13028	CHEMIN CHARRE	PK 38,5 de l'autoroute A50.										P	914293	6237025
